,unique_case_id,type_of_crime,location,victim_sex,offender_sex,number_of_victims,number_of_offenders,Homicide,Hate Crime - Disability,Hate Crime - Gender,Hate Crime - Gender Identity,Hate Crime - Religious,Hate Crime - Sexual orientation,Hate Crime - Racial/Ethnicity,Hate Crime - Ethnicity,Verbal Abuse/Verbal Assault,Property Damage,Drug Offenses,General Assault,Sexual Assault,Sexual Harassment,Property Crimes,Domestic Violence,Missing Person,Traffic Incident,Unclassified,timestamp,date
18,000004_1312099,Drug Offenses," Rathaus Spandau,  Haselhorst",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:40:00,2023-06-04
19,000001_1173694,Drug Offenses,"Kruckenbergstraße, Tempelhof-Schöneberg",Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19:00:00,2022-03-02
20,000002_1173690,"General Assault, Property Crime","Bredowstraße, Moabit",Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:00:00,2022-03-02
21,000003_1173673,"General Assault, Property Crimes",Haßfurter Weg,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18:30:00,2022-03-02
22,000004_1173597,Unclassified,Treptow-Köpenick,Unknown,Male,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,01:45:00,2022-03-02
23,000005_1173447,"Property Crime, Property Damage",Tempelhofer Weg,Unknown,Male,Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:00:00,2022-03-02
24,000006_1173444,"Property Crimes, Unclassified",Bundesweit,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,2022-03-02
25,000007_1173437,Property Crime (Theft),Kottbusser Damm,Unknown,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:20:00,2022-03-02
26,000008_1173434,"General Assault, Property Damage, Drug Offenses, Verbal Abuse",Mehringdamms,Male,Male,10,20-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2022-03-02
27,000009_1173413,"General Assault, Property Crimes",Alexanderstraße,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01:00:00,2022-03-02
28,000010_1173393,"Driving Under the Influence, Driving Without a License",Mecklenburgische Straße/ Rudolstädter Straße,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:30:00,2022-03-02
29,000011_1173391,"Property Crime, Property Damage","Rosenthal, Straße 151",Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:40:00,2022-03-02
30,000012_1173210,"Property Crime, General Assault","Grüner Weg, Neukölln",Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2022-02-02
31,000013_1173102,"Property Crime, Attempted Theft",Steglitz-Zehlendorf,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05:00:00,2022-02-02
32,000014_1173067,"Drug Offenses, Possession of a Weapon","Schlüterstraße, Charlottenburg-Wilmersdorf",Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:45:00,2022-02-02
33,000015_1173015,"Property Crime, General Assault, Verbal Abuse",Graunstraße,"Female, Male",Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:10:00,2022-02-02
34,000016_1173012,Property Damage,"Riesaer Straße, Marzahn-Hellersdorf",Female,Female,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19:00:00,2022-02-02
35,000017_1172986,Property Damage,"Wedekindstraße, Friedrichshain-Kreuzberg",Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:30:00,2022-02-02
36,000018_1172790,"General Assault, Verbal Abuse, Property Damage",Charlottenburg-Wilmersdorf,Male,Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:00:00,2022-01-02
37,000019_1172764,Property Damage,Warthestraße,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:30:00,2022-01-02
38,000020_1172736,"General Assault, Verbal Abuse",Am Containerbahnhof Ecke Möllendorffstraße,Male,"Male, Female",1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:35:00,2022-01-02
39,000021_1172734,"General Assault, Verbal Abuse, Hate Crime - Gender Identity (Anti-Transgender)","Admiralstraße, Friedrichshain-Kreuzberg",Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21:20:00,2022-01-02
40,000022_1172647,"Property Damage, Drug Offenses, Driving without a License","A100, in Fahrtrichtung Süd, in Höhe Tunnel Rathenauplatz",Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:10:00,2022-01-02
41,000023_1172624,"Robbery, Verbal Abuse","Alt-Hohenschönhausen, Gärtner Straße",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09:20:00,2021-04-07
42,000024_1172580,Property Damage,Hansastraße,Unknown,Male (12-13 years old),Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:30:00,2022-01-02
43,000025_1172574,"General Assault, Property Damage",Buhrowstraße/Steglitzer Damm,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:00:00,2022-01-02
44,000026_1172446,Property Damage,Kleiststraße / Martin-Luther-Straße,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13:20:00,2022-31-01
45,000027_1172173,Property Damage,"Schleiermacherstraße, Friedrichshain-Kreuzberg",Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05:30:00,2022-31-01
46,000028_1172078,"Property Damage, Vandalism",Kreutzigerstraße,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08:30:00,2022-30-01
47,000029_1172077,"General Assault, Verbal Abuse","Johannisthaler Chaussee, Gropiusstadt, Neukölln",Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21:30:00,2022-30-01
48,000030_1172076,Property Damage,"Karl-Marx-Platz, Neukölln",Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01:20:00,2022-30-01
49,000031_1172075,"Property Crimes, Drug Offenses, General Assault","Marzahn-Hellersdorf, Finkenwalder Weg, Kaulsdorf, Ferdinandstraße, Tangermünder Straße",Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,03:00:00,2022-30-01
50,000032_1172074,"General Assault, Property Damage",Sonnenallee,Male,Male,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01:00:00,2022-30-01
51,000033_1172069,"Property Crime, General Assault","Koloniestraße, Gesundbrunnen",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19:00:00,2022-30-01
52,000001_1182756,"General Assault, Property Damage", Innsbrucker Platz,Male,Male,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15:20:00,2022-04-03
53,000002_1182745,"Drug Offenses, Possession of Weapons","Ribnitzer Straße, Neu-Hohenschönhausen, Lichtenberg",Unknown,Male,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:30:00,2022-04-03
54,000003_1182481,Property Damage,Baruther Straße,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05:10:00,2022-03-03
55,000004_1182415,"General Assault, Property Damage, Drug Offenses","Friedrichshagen, Werlseestraße/ Müggelseedamm, Löcknitzstraße",Male,Male,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2022-03-03
56,000005_1182413,"Property Crime, General Assault",Lenaustraße,"Male, Female",Male,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:10:00,2022-03-03
57,000006_1182362,"Property Crime, Theft",Kottbusser Tor,Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:40:00,2022-03-03
58,000007_1182360,"Property Damage, Arson","Reinickendorf, Treuenbrietzener Straße",Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21:20:00,2022-03-03
59,000008_1182350,"Verbal Abuse, Property Damage",Pappelallee,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:00:00,2022-03-03
60,000001_1176007,Unclassified,Pankow,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2022-11-02
61,000001_1308149,Property Damage,"Scharnweberstraße, Reinickendorf",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13:50:00,2023-25-03
62,000002_1308147,"General Assault, Property Damage","Hermannstraße, Neukölln",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01:00:00,2023-25-03
63,000003_1308145,"Homicide, General Assault, Property Damage",Reinickendorf,"Female, Male",Male,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:15:00,2023-25-03
64,000004_1308099,"Property Damage, Unclassified",Friedrichstraße,Unknown,Unknown,Unknown,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17:15:00,2023-24-03
65,000005_1307898,"Property Crime, General Assault","Ernst-Reinke-Straße, Lichtenberg",Unknown,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21:30:00,2023-24-03
66,000006_1307518,"Verbal Abuse, General Assault","Motzstraße, Tempelhof-Schöneberg",Male,Unknown,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03:35:00,2023-23-03
67,000007_1307474,"Verbal Abuse, Threatening with a Weapon",Treptow-Köpenick,Female,Female,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19:30:00,2023-23-03
68,000008_1307434,"Property Damage, General Assault",Friedrichsfelde,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01:50:00,2023-23-03
69,000009_1307433,"Hate Crime - Racial/Ethnicity, General Assault, Verbal Abuse", Jungfernheide,Female,Female,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:00:00,2023-23-03
70,000010_1307189,"Property Damage, Attempted Arson","Lindenberger Weg, Buch, Pankow",Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03:00:00,2023-22-03
71,000011_1307179,"General Assault, Verbal Abuse, Property Damage","Harry-Breslau-Park, Steglitz-Zehlendorf",Male,Male,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:00:00,2023-22-03
72,000012_1307177,"Property Crime, Drug Offenses",Tempelhof-Schöneberg,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:40:00,2023-22-03
73,000013_1307175,"Property Crime, Burglary",Charles-Corcelle-Ring,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15:00:00,2023-22-03
74,000014_1306969,"General Assault, Property Damage","Huttenstraße, Moabit",Male,Male,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,2023-22-03
75,000015_1306908,"Property Crime, General Assault","Holländer Straße, Wedding",Female,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19:20:00,2023-22-03
76,000016_1306798,"Drug Offenses, General Assault, Property Damage","Südstern/Körtestraße, Friedrichshain-Kreuzberg",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:00:00,2023-22-03
77,000017_1306793,Property Damage,"Auerbacher Ring, Marzahn-Hellersdorf",Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20:30:00,2023-22-03
78,000018_1306557,"General Assault, Verbal Abuse, Property Damage",Friedrichshain-Kreuzberg,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:00:00,2023-21-03
79,000019_1306237,Unclassified,Mitte,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2023-21-03
80,000020_1306232,"General Assault, Property Damage, Verbal Abuse",Tram-Haltestelle Welsestr. / Falkenberger Chaussee,"Male, Female",Male,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:00:00,2023-21-03
81,000021_1306227,"Property Crime, General Assault","Konstanzer Straße, Charlottenburg-Wilmersdorf",Unknown,Male,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2023-21-03
82,000022_1306217,"Property Damage, Arson","Senftenberger Ring, Reinickendorf",Unknown,Unknown,5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:35:00,2023-21-03
83,000023_1306131,"General Assault, Verbal Abuse, Property Damage","Reinickendorf, Simmelstraße",Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01:20:00,2023-21-03
84,000024_1305808,"Property Crime, Burglary","Klosterstraße, Spandau",Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04:30:00,2023-20-03
85,000025_1305498,"Property Crime, Theft",Prenzlauer Berg,Unknown,Male,Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03:00:00,2023-19-03
86,000026_1305496,"General Assault, Verbal Abuse, Hate Crime - Racial/Ethnicity","Brunnenstraße, Mitte",Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:30:00,2023-19-03
87,000027_1305485,"Burglary, Property Damage",Marzahn-Hellersdorf,Unknown,Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19:00:00,2023-18-03
88,000028_1305483,Unclassified,"Berlepschstraße, Steglitz-Zehlendorf",Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,08:00:00,2023-18-03-2023
89,000029_1304726,"Verbal Abuse, General Assault","Schulenburgring, Tempelhof-Schöneberg",Female,Female,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:00:00,2023-16-03
90,000030_1304657,Human Trafficking,Berlin/Halle(Saale)/Hof,Unknown,Male,Unknown,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2023-15-03
91,000031_1304388,Property Damage,"Pistoriusstraße, Weißensee",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:00:00,2023-15-03
92,000032_1303920,"General Assault, Verbal Abuse, Property Damage","Klingsorstraße, Steglitz-Zehlendorf",Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16:00:00,2023-14-03
93,000033_1303633,Unclassified,Dahme,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2023-16-02
94,000034_1303599,"Property Damage, Attempted Theft","Marienfelde, Hildburghauser Straße",Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06:00:00,2023-13-03
