,Time,Date,Year,Month,Day,unique_case_id,official_case_id,type_of_crime,location,year,date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,Homicide,Hate Crime - Disability,Hate Crime - Gender,Hate Crime - Gender Identity,Hate Crime - Religious,Hate Crime - Sexual orientation,Hate Crime - Racial/Ethnicity,Hate Crime - Ethnicity,Verbal Abuse/Verbal Assault,Property Damage,Drug Offenses,General Assault,Sexual Assault,Sexual Harassment,Property Crimes,Domestic Violence,Missing Person,Traffic Incident,Unclassified,Output,Good_output,lon,lat
29,13:23:00,2023-03-28 20:10:14.182771,2023,3,28,000017_1306793,1306793.0,Property Damage,"Auerbacher Ring, Marzahn-Hellersdorf",2023.0,22.03,20.30 Uhr,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 150663231, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 178283558, 'boundingbox': ['52.5332683', '52.5339174', '13.5999789', '13.601535'], 'lat': '52.5339136', 'lon': '13.6008858', 'display_name': 'Auerbacher Ring, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12619, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5100099999999999}, {'place_id': 295683489, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1026692357, 'boundingbox': ['52.5321775', '52.5333349', '13.601535', '13.6025288'], 'lat': '52.5328907', 'lon': '13.6021102', 'display_name': 'Auerbacher Ring, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12627, Deutschland', 'class': 'highway', 'type': 'living_street', 'importance': 0.5100099999999999}]","{'place_id': 150663231, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 178283558, 'boundingbox': ['52.5332683', '52.5339174', '13.5999789', '13.601535'], 'lat': '52.5339136', 'lon': '13.6008858', 'display_name': 'Auerbacher Ring, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12619, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5100099999999999}",13.6008858,52.5339136
30,16:40:00,2023-01-01 20:10:14.182771,2023,1,1,000018_1306557,1306557.0,"General Assault, Verbal Abuse, Property Damage",Friedrichshain-Kreuzberg,2023.0,21.03,23.00 Uhr,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307576146, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 55764, 'boundingbox': ['52.4827923', '52.5310256', '13.3682291', '13.4914434'], 'lat': '52.5011154', 'lon': '13.4442848', 'display_name': 'Friedrichshain-Kreuzberg, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6597369538449229, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307576146, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 55764, 'boundingbox': ['52.4827923', '52.5310256', '13.3682291', '13.4914434'], 'lat': '52.5011154', 'lon': '13.4442848', 'display_name': 'Friedrichshain-Kreuzberg, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6597369538449229, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.4442848,52.5011154
31,07:57:00,2022-09-03 20:10:14.182771,2022,9,3,000019_1306237,1306237.0,Unclassified,Mitte,2023.0,21.03,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[{'place_id': 307479808, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16566, 'boundingbox': ['52.5040371', '52.5404013', '13.3658603', '13.4294017'], 'lat': '52.5178855', 'lon': '13.4040601', 'display_name': 'Mitte, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.623968725003321, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 307693094, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16347, 'boundingbox': ['52.4987207', '52.5676686', '13.3015376', '13.4294017'], 'lat': '52.517012', 'lon': '13.3888222', 'display_name': 'Mitte, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6029773077713768, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 308606231, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 6092173, 'boundingbox': ['51.8065903', '51.8501067', '7.2383748', '7.3311042'], 'lat': '51.8283717', 'lon': '7.286759707314458', 'display_name': 'Mitte, Dülmen, Kreis Coesfeld, Nordrhein-Westfalen, 48249, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.5848104707688316, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 308379162, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 5400979, 'boundingbox': ['38.8624324', '41.0374763', '-9.5498113', '-6.7809607'], 'lat': '39.94995925', 'lon': '-7.911934824057552', 'display_name': 'Centro, Portugal', 'class': 'boundary', 'type': 'statistical', 'importance': 0.5245765437067269}, {'place_id': 307952344, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1127350, 'boundingbox': ['53.067834', '53.091402', '8.788809', '8.8275104'], 'lat': '53.0786741', 'lon': '8.8109045', 'display_name': 'Mitte, Bremen-Mitte, Bremen, 28195, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.5046676423784543, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 308058543, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 2746031, 'boundingbox': ['12.0501349', '12.68505', '-1.82685', '-1.06363'], 'lat': '12.36732', 'lon': '-1.5430869129979032', 'display_name': 'Centre, Burkina Faso', 'class': 'boundary', 'type': 'administrative', 'importance': 0.4275633120263368, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 307825884, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 976404, 'boundingbox': ['51.9999741', '52.0533329', '8.5069295', '8.5885534'], 'lat': '52.0208755', 'lon': '8.5308979', 'display_name': 'Mitte, Bielefeld, Nordrhein-Westfalen, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.4224087281721012, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 307511268, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 80107, 'boundingbox': ['52.3530454', '52.3983249', '9.7119475', '9.7916261'], 'lat': '52.375685399999995', 'lon': '9.749101048641126', 'display_name': 'Mitte, Hannover, Region Hannover, Niedersachsen, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.4158720222757677, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 308842441, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 9364858, 'boundingbox': ['51.276345', '51.3197921', '6.8305106', '6.8825539'], 'lat': '51.2980193', 'lon': '6.858864111173499', 'display_name': 'Mitte, Ratingen, Kreis Mettmann, Nordrhein-Westfalen, 40878, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.41001, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 308190263, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3897825, 'boundingbox': ['50.0714586', '50.0910265', '8.2298417', '8.2455504'], 'lat': '50.08133745', 'lon': '8.240506989148937', 'display_name': 'Mitte, Wiesbaden, Hessen, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.40402874005523814, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307479808, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16566, 'boundingbox': ['52.5040371', '52.5404013', '13.3658603', '13.4294017'], 'lat': '52.5178855', 'lon': '13.4040601', 'display_name': 'Mitte, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.623968725003321, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.4040601,52.5178855
33,19:07:00,2022-07-21 20:10:14.182771,2022,7,21,000021_1306227,1306227.0,"Property Crime, General Assault","Konstanzer Straße, Charlottenburg-Wilmersdorf",2023.0,21.03,22 Uhr,Unknown,Male,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 45895188, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3918542874, 'boundingbox': ['52.4895315', '52.4995315', '13.3040745', '13.3140745'], 'lat': '52.4945315', 'lon': '13.3090745', 'display_name': 'Konstanzer Straße, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.7881495857429428, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}, {'place_id': 309411793, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 29833425, 'boundingbox': ['52.4941349', '52.4942349', '13.3092359', '13.3093359'], 'lat': '52.4941849', 'lon': '13.3092859', 'display_name': 'Konstanzer Straße, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland', 'class': 'railway', 'type': 'stop', 'importance': 0.7881495857429428}, {'place_id': 102962984, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4389588, 'boundingbox': ['52.4876233', '52.4877918', '13.3084423', '13.3084528'], 'lat': '52.487719', 'lon': '13.3084483', 'display_name': 'Konstanzer Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10713, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5100099999999999}, {'place_id': 103053789, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4413752, 'boundingbox': ['52.4886694', '52.4901046', '13.3079711', '13.3085621'], 'lat': '52.4890046', 'lon': '13.3079986', 'display_name': 'Konstanzer Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10709, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5100099999999999}, {'place_id': 102945994, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4413754, 'boundingbox': ['52.494063', '52.4961173', '13.3103198', '13.3111701'], 'lat': '52.4950557', 'lon': '13.3107385', 'display_name': 'Konstanzer Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5100099999999999}]","{'place_id': 45895188, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3918542874, 'boundingbox': ['52.4895315', '52.4995315', '13.3040745', '13.3140745'], 'lat': '52.4945315', 'lon': '13.3090745', 'display_name': 'Konstanzer Straße, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.7881495857429428, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}",13.3090745,52.4945315
34,06:26:00,2022-12-21 20:10:14.182771,2022,12,21,000022_1306217,1306217.0,"Property Damage, Arson","Senftenberger Ring, Reinickendorf",2023.0,21.03,10.35 Uhr,Unknown,Unknown,5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 113857475, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 27835180, 'boundingbox': ['52.6000752', '52.6001669', '13.3557362', '13.3557776'], 'lat': '52.6000752', 'lon': '13.3557362', 'display_name': 'Senftenberger Ring, Märkisches Viertel, Reinickendorf, Berlin, 13435, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}, {'place_id': 117045158, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 33926790, 'boundingbox': ['52.5997727', '52.5998172', '13.3546864', '13.3556713'], 'lat': '52.5997793', 'lon': '13.3548334', 'display_name': 'Senftenberger Ring, Märkisches Viertel, Reinickendorf, Berlin, 13439, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}]","{'place_id': 113857475, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 27835180, 'boundingbox': ['52.6000752', '52.6001669', '13.3557362', '13.3557776'], 'lat': '52.6000752', 'lon': '13.3557362', 'display_name': 'Senftenberger Ring, Märkisches Viertel, Reinickendorf, Berlin, 13435, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.41001}",13.3557362,52.6000752
35,23:13:00,2023-04-07 20:10:14.182771,2023,4,7,000023_1306131,1306131.0,"General Assault, Verbal Abuse, Property Damage","Reinickendorf, Simmelstraße",2023.0,21.03,1.20 Uhr,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 103283348, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4637808, 'boundingbox': ['52.5651582', '52.5652222', '13.3636857', '13.3647477'], 'lat': '52.5651792', 'lon': '13.3640196', 'display_name': 'Simmelstraße, Reinickendorf, Berlin, 13409, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}, {'place_id': 113711176, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25304737, 'boundingbox': ['52.5652222', '52.5652714', '13.3647477', '13.3649045'], 'lat': '52.5652222', 'lon': '13.3647477', 'display_name': 'Simmelstraße, Reinickendorf, Berlin, 13409, Deutschland', 'class': 'highway', 'type': 'footway', 'importance': 0.29500999999999994}]","{'place_id': 103283348, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4637808, 'boundingbox': ['52.5651582', '52.5652222', '13.3636857', '13.3647477'], 'lat': '52.5651792', 'lon': '13.3640196', 'display_name': 'Simmelstraße, Reinickendorf, Berlin, 13409, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.32000999999999996}",13.3640196,52.5651792
36,14:22:00,2022-07-06 20:10:14.182771,2022,7,6,000024_1305808,1305808.0,"Property Crime, Burglary","Klosterstraße, Spandau",2023.0,20.03,4.30 Uhr,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 102812358, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4453033, 'boundingbox': ['52.5329302', '52.5332823', '13.1985871', '13.1988502'], 'lat': '52.5330497', 'lon': '13.1986759', 'display_name': 'Klosterstraße, Spandau, Berlin, 13581, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}, {'place_id': 122853855, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 56362655, 'boundingbox': ['52.5290762', '52.529177', '13.1957407', '13.1957713'], 'lat': '52.529177', 'lon': '13.1957713', 'display_name': 'Klosterstraße, Wilhelmstadt, Spandau, Berlin, 13581, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}]","{'place_id': 102812358, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4453033, 'boundingbox': ['52.5329302', '52.5332823', '13.1985871', '13.1988502'], 'lat': '52.5330497', 'lon': '13.1986759', 'display_name': 'Klosterstraße, Spandau, Berlin, 13581, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}",13.1986759,52.5330497
37,17:06:00,2023-04-30 20:10:14.182771,2023,4,30,000025_1305498,1305498.0,"Property Crime, Theft",Prenzlauer Berg,2023.0,19.03,3 Uhr,Unknown,Male,Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307888376, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 407713, 'boundingbox': ['52.5199276', '52.5585856', '13.396846', '13.4721073'], 'lat': '52.5398466', 'lon': '13.4285652', 'display_name': 'Prenzlauer Berg, Pankow, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6797244457981899, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 154475096, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 194995004, 'boundingbox': ['52.5282913', '52.52839', '13.4232096', '13.4237008'], 'lat': '52.5283441', 'lon': '13.4234544', 'display_name': 'Prenzlauer Berg, Winsviertel, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland', 'class': 'highway', 'type': 'unclassified', 'importance': 0.30000999999999994}, {'place_id': 126785521, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 82662288, 'boundingbox': ['52.5289608', '52.5292368', '13.4189472', '13.4199194'], 'lat': '52.5291479', 'lon': '13.419437349457645', 'display_name': 'Gleichrichterwerk 204 Prenzlauer Berg, 5, Prenzlauer Berg, Winsviertel, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland', 'class': 'place', 'type': 'house', 'importance': 0.20000999999999997}]","{'place_id': 307888376, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 407713, 'boundingbox': ['52.5199276', '52.5585856', '13.396846', '13.4721073'], 'lat': '52.5398466', 'lon': '13.4285652', 'display_name': 'Prenzlauer Berg, Pankow, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6797244457981899, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.4285652,52.5398466
38,02:18:00,2022-07-14 20:10:14.182771,2022,7,14,000026_1305496,1305496.0,"General Assault, Verbal Abuse, Hate Crime - Racial/Ethnicity","Brunnenstraße, Mitte",2023.0,19.03,16.30 Uhr,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 185131937, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 317871680, 'boundingbox': ['52.5382411', '52.5383808', '13.3958396', '13.3959441'], 'lat': '52.538316', 'lon': '13.3958881', 'display_name': 'Brunnenstraße, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5044409508461066}, {'place_id': 193959955, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 365734769, 'boundingbox': ['52.5359701', '52.5369907', '13.3971097', '13.3976625'], 'lat': '52.5365423', 'lon': '13.397453', 'display_name': 'Brunnenstraße, Mitte, Berlin, 10115, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5044409508461066}, {'place_id': 119470342, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 41927333, 'boundingbox': ['52.5327713', '52.5348202', '13.398074', '13.3988283'], 'lat': '52.5342798', 'lon': '13.3982723', 'display_name': 'Brunnenstraße, Mitte, Berlin, 10119, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5044409508461066}, {'place_id': 57452236, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5280261745, 'boundingbox': ['49.6804441', '49.6805441', '6.760942', '6.761042'], 'lat': '49.6804941', 'lon': '6.760992', 'display_name': 'Holzerath, Ort, Brunnenstraße, Holzerath, Ruwer, Landkreis Trier-Saarburg, Rheinland-Pfalz, 54316, Deutschland', 'class': 'highway', 'type': 'bus_stop', 'importance': 0.11000999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_bus_stop2.p.20.png'}]","{'place_id': 185131937, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 317871680, 'boundingbox': ['52.5382411', '52.5383808', '13.3958396', '13.3959441'], 'lat': '52.538316', 'lon': '13.3958881', 'display_name': 'Brunnenstraße, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.5044409508461066}",13.3958881,52.538316
39,02:14:00,2022-12-05 20:10:14.182771,2022,12,5,000027_1305485,1305485.0,"Burglary, Property Damage",Marzahn-Hellersdorf,2023.0,18.03,19 Uhr,Unknown,Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307863134, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 164712, 'boundingbox': ['52.4704779', '52.5745093', '13.5168837', '13.6585034'], 'lat': '52.5225225', 'lon': '13.5876634', 'display_name': 'Marzahn-Hellersdorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6501948440349123, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 99528535, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 9920312630, 'boundingbox': ['52.52755', '52.52765', '13.5895192', '13.5896192'], 'lat': '52.5276', 'lon': '13.5895692', 'display_name': 'Marzahn-Hellersdorf, Hellersdorfer Straße, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12619, Deutschland', 'class': 'tourism', 'type': 'information', 'importance': 0.21000999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/amenity_information.p.20.png'}]","{'place_id': 307863134, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 164712, 'boundingbox': ['52.4704779', '52.5745093', '13.5168837', '13.6585034'], 'lat': '52.5225225', 'lon': '13.5876634', 'display_name': 'Marzahn-Hellersdorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6501948440349123, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.5876634,52.5225225
40,10:15:00,2022-12-08 20:10:14.182771,2022,12,8,000028_1305483,1305483.0,Unclassified,"Berlepschstraße, Steglitz-Zehlendorf",2023.0,18.03.2023,8 Uhr,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[{'place_id': 102573163, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4706334, 'boundingbox': ['52.4259626', '52.429803', '13.2448027', '13.2570781'], 'lat': '52.4278805', 'lon': '13.2508885', 'display_name': 'Berlepschstraße, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14165, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.42001}, {'place_id': 133927565, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 112408881, 'boundingbox': ['52.421616', '52.4245177', '13.2280974', '13.2402037'], 'lat': '52.4233592', 'lon': '13.2341165', 'display_name': 'Berlepschstraße, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14165, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.42001}, {'place_id': 182433294, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 307572321, 'boundingbox': ['52.420901', '52.4209184', '13.2251887', '13.2254757'], 'lat': '52.4209085', 'lon': '13.2253115', 'display_name': 'Berlepschstraße, Zehlendorf, Steglitz-Zehlendorf, Kleinmachnow, Potsdam-Mittelmark, Brandenburg, 14165, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.42001}]","{'place_id': 102573163, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4706334, 'boundingbox': ['52.4259626', '52.429803', '13.2448027', '13.2570781'], 'lat': '52.4278805', 'lon': '13.2508885', 'display_name': 'Berlepschstraße, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14165, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.42001}",13.2508885,52.4278805
