,Unnamed: 0,official_case_id,type_of_crime,location,datetime,year_date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,homicide,hate_crime-disability,hate_crime-gender,hate_crime-gender_identity,hate_crime-religious,hate_crime-sexual_orientation,hate_crime-racial/ethnicity,verbal_abuse/verbal_assault,property_damage,drug_offenses,general_assault,sexual_assault,sexual_harassment,property_crimes,unclassified,lon,lat
11,11,1317063,"Property Damage, Homicide","Treptow-Köpenick, Am Bahndamm",2023-04-25 10:30:00,2023-04-25,10.30,Male,Unknow,1,Unknow,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.512471457499548,43.0542733
12,12,1317038,"Property Crime, General Assault","Keithstraße, Tempelhof-Schöneberg",2023-04-25 17:00:00,2023-04-25,17.00,"Male, Female",Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5065697302419823,44.315857449999996
13,13,1316949,"Property Damage, Verbal Abuse, General Assault",Berlinweit,2023-04-25 07:20:00,2023-04-25,07.20,Unknow,Unknow,Unknow,255,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.034323560504859,43.5424182
14,14,1316885,Unclassified,Berlinweit,,2023-04-25,Unknow,Unknow,Unknow,Unknow,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.24139505722798021,49.09076485
15,15,1312353,"Property Damage, Homicide","Salchendorfer Weg, Falkenhagener Feld, Spandau",2023-04-07 22:00:00,2023-04-07,22.00,Female,Unknown,1,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.699717567737356,45.0497701
16,16,1312248,"Property Damage, Arson","Bergfriedstraße, Friedrichshain-Kreuzberg",2023-04-06 04:45:00,2023-04-06,04.45,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09730504409848517,45.6667902
17,17,1312133,"General Assault, Property Damage", Rathaus Spandau,2023-04-06 20:10:00,2023-04-06,20.10,Male,Male,1,3-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7212875872563794,45.73022675
18,18,1312099,Drug Offenses," Rathaus Spandau,  Haselhorst",2023-04-06 14:40:00,2023-04-06,14.40,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5753333606655704,47.024882399999996
19,19,1173694,Drug Offenses,"Kruckenbergstraße, Tempelhof-Schöneberg",2022-02-03 19:00:00,2022-02-03,19.00,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8176424406120555,45.342904700000005
20,20,1173690,"General Assault, Property Crime","Bredowstraße, Moabit",2022-02-03 16:00:00,2022-02-03,16.00,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.3757031,48.2432261
21,21,1173673,"General Assault, Property Crimes",Haßfurter Weg,2022-02-03 18:30:00,2022-02-03,18.30,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.74812234575117,47.465503350000006
22,22,1173597,Unclassified,Treptow-Köpenick,2022-02-03 01:45:00,2022-02-03,01.45,Unknown,Male,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.751432791068642,48.461487700000006
23,23,1173447,"Property Crime, Property Damage",Tempelhofer Weg,2022-02-03 20:00:00,2022-02-03,20.00,Unknown,Male,Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04890101251091,46.0593485
24,24,1173444,"Property Crimes, Unclassified",Bundesweit,,2022-02-03,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6321258058651044,45.14291985
25,25,1173437,Property Crime (Theft),Kottbusser Damm,2022-02-03 17:20:00,2022-02-03,17.20,Unknown,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.235622772820445,47.06699155
26,26,1173434,"General Assault, Property Damage, Drug Offenses, Verbal Abuse",Mehringdamms,2022-02-03 22:00:00,2022-02-03,22.00,Male,Male,10,20-30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.204637164536667,44.72953475
27,27,1173413,"General Assault, Property Crimes",Alexanderstraße,2022-02-03 01:00:00,2022-02-03,01.00,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9652025944774796,49.0756358
28,28,1173393,"Driving Under the Influence, Driving Without a License",Mecklenburgische Straße/ Rudolstädter Straße,2022-02-03 16:30:00,2022-02-03,16.30,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3998820185020766,48.4474102
29,29,1173391,"Property Crime, Property Damage","Rosenthal, Straße 151",2022-02-03 20:40:00,2022-02-03,20.40,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.044090245241742,48.24511525
30,30,1173210,"Property Crime, General Assault","Grüner Weg, Neukölln",2022-02-02 22:00:00,2022-02-02,22.00,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.297637002377168,43.95995
31,31,1173102,"Property Crime, Attempted Theft",Steglitz-Zehlendorf,2022-02-02 05:00:00,2022-02-02,05.00,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716791701901577,43.305454600000004
32,32,1173067,"Drug Offenses, Possession of a Weapon","Schlüterstraße, Charlottenburg-Wilmersdorf",2022-02-02 10:45:00,2022-02-02,10.45,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4101019175237992,43.695527600000005
33,33,1173015,"Property Crime, General Assault, Verbal Abuse",Graunstraße,2022-02-02 22:10:00,2022-02-02,22.10,"Female, Male",Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6051264440438711,44.883745950000005
34,34,1173012,Property Damage,"Riesaer Straße, Marzahn-Hellersdorf",2022-02-02 19:00:00,2022-02-02,19.00,Female,Female,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.052495,41.0766019
35,35,1172986,Property Damage,"Wedekindstraße, Friedrichshain-Kreuzberg",2022-02-02 00:30:00,2022-02-02,00.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02997,38.23166
36,36,1172790,"General Assault, Verbal Abuse, Property Damage",Charlottenburg-Wilmersdorf,2022-02-01 16:00:00,2022-02-01,16.00,Male,Male,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5382051557056249,46.81210565
37,37,1172764,Property Damage,Warthestraße,2022-02-01 22:30:00,2022-02-01,22.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866702523286876,47.2232046
38,38,1172736,"General Assault, Verbal Abuse",Am Containerbahnhof Ecke Möllendorffstraße,2022-02-01 02:35:00,2022-02-01,02.35,Male,"Male, Female",1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.634382477386232,45.28979315
39,39,1172734,"General Assault, Verbal Abuse, Hate Crime - Gender Identity (Anti-Transgender)","Admiralstraße, Friedrichshain-Kreuzberg",2022-02-01 21:20:00,2022-02-01,21.20,Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.783285726354901,46.783362499999996
40,40,1172647,"Property Damage, Drug Offenses, Driving without a License","A100, in Fahrtrichtung Süd, in Höhe Tunnel Rathenauplatz",2022-02-01 02:10:00,2022-02-01,02.10,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6433872354467377,44.00996945
41,41,1172624,"Robbery, Verbal Abuse","Alt-Hohenschönhausen, Gärtner Straße",2021-07-04 09:20:00,2021-07-04,09.20,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.297183525390464,47.65977515
42,42,1172580,Property Damage,Hansastraße,2022-02-01 16:30:00,2022-02-01,16.30,Unknown,Male (12-13 years old),Unknown,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045473682551104,45.75385355
43,43,1172574,"General Assault, Property Damage",Buhrowstraße/Steglitzer Damm,2022-02-01 18:00:00,2022-02-01,18.00,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.833826117673291,45.085724850000005
44,44,1172446,Property Damage,Kleiststraße / Martin-Luther-Straße,2022-01-31 13:20:00,2022-01-31,13.20,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8727461214619257,47.34816145
45,45,1172173,Property Damage,"Schleiermacherstraße, Friedrichshain-Kreuzberg",2022-01-31 05:30:00,2022-01-31,05.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3075036458463853,47.91387245
46,46,1172078,"Property Damage, Vandalism",Kreutzigerstraße,2022-01-30 08:30:00,2022-01-30,08.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6657742169753669,44.624991800000004
47,47,1172077,"General Assault, Verbal Abuse","Johannisthaler Chaussee, Gropiusstadt, Neukölln",2022-01-30 21:30:00,2022-01-30,21.30,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45391575832487524,44.3691703
48,48,1172076,Property Damage,"Karl-Marx-Platz, Neukölln",2022-01-30 01:20:00,2022-01-30,01.20,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.521114648333333,44.5425706
49,49,1172075,"Property Crimes, Drug Offenses, General Assault","Marzahn-Hellersdorf, Finkenwalder Weg, Kaulsdorf, Ferdinandstraße, Tangermünder Straße",2022-01-30 03:00:00,2022-01-30,03.00,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.3909097146387368,47.38863045
50,50,1172074,"General Assault, Property Damage",Sonnenallee,2022-01-30 01:00:00,2022-01-30,01.00,Male,Male,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2454952394090721,49.091895199999996
51,51,1172069,"Property Crime, General Assault","Koloniestraße, Gesundbrunnen",2022-01-30 19:00:00,2022-01-30,19.00,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.31224359285714,48.961264
52,52,1182756,"General Assault, Property Damage", Innsbrucker Platz,2022-03-04 15:20:00,2022-03-04,15.20,Male,Male,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.252910789751933,48.1329414
53,53,1182745,"Drug Offenses, Possession of Weapons","Ribnitzer Straße, Neu-Hohenschönhausen, Lichtenberg",2022-03-04 18:30:00,2022-03-04,18.30,Unknown,Male,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6491273812007092,48.1507819
54,54,1182481,Property Damage,Baruther Straße,2022-03-03 05:10:00,2022-03-03,05.10,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.987038299756556,48.95596825
55,55,1182415,"General Assault, Property Damage, Drug Offenses","Friedrichshagen, Werlseestraße/ Müggelseedamm, Löcknitzstraße",2022-03-03 22:00:00,2022-03-03,22.00,Male,Male,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.428669076639772,49.01296845
56,56,1182413,"Property Crime, General Assault",Lenaustraße,2022-03-03 18:10:00,2022-03-03,18.10,"Male, Female",Male,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.7633492695588253,47.825981150000004
57,57,1182362,"Property Crime, Theft",Kottbusser Tor,2022-03-03 17:40:00,2022-03-03,17.40,Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.538035170357949,49.0207259
58,58,1182360,"Property Damage, Arson","Reinickendorf, Treuenbrietzener Straße",2022-03-03 21:20:00,2022-03-03,21.20,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5448897947227174,47.11969705
59,59,1182350,"Verbal Abuse, Property Damage",Pappelallee,2022-03-03 16:00:00,2022-03-03,16.00,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0883523694464854,50.52896715
60,60,1176007,Unclassified,Pankow,,2022-02-11,Unknown,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.406487846905477,49.41205455
61,95,1146081,"General Assault, Verbal Abuse",Grunerstraße,2021-11-14 21:00:00,2021-11-14,21.00,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.209811443668384,49.07507045
62,96,1146075,Homicide,Kurfürstenstraße,2021-11-14 22:50:00,2021-11-14,22.50,Male,Male,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8717378,46.4198096
63,97,1146073,"Property Crime, Homicide",Hussitenstraße,2021-11-14 00:50:00,2021-11-14,00.50,Male,Male,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1550852,46.7043348
64,98,1146039,"Property Damage, General Assault, Possession of a Weapon",Treptow-Köpenick,2021-11-13 17:00:00,2021-11-13,17.00,"Male, Female",Male,Children (7-8 years old),4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.653685117104324,46.4473711
65,99,1146037,"Property Damage, Drug Offenses, Unclassified",Hermannstraße,2021-11-13 19:00:00,2021-11-13,19.00,Female,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-123.1419028,49.3118075
66,100,1146036,"General Assault, Property Damage",Alten Hellersdorfer Straße,2021-11-13 00:45:00,2021-11-13,00.45,Male,Male,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.929256839210568,50.928463
67,101,1146035,"General Assault, Property Crime, Verbal Abuse",Torstraße,2021-11-13 20:50:00,2021-11-13,20.50,Male,Unknown,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.601643209374739,55.65554675
68,102,1146034,"Property Crime, Theft",Kurfürstendamm Ecke Uhlandstraße,2021-11-13 19:35:00,2021-11-13,19.35,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1508654,42.5160677
69,103,1146033,"Property Damage, Arson","Am Juliusturm, Haselhorst, Spandau",2021-11-13 02:45:00,2021-11-13,02.45,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1620632,42.5164038
70,104,1146030,"Property Crime, General Assault","Reußstraße, Hakenfelde, Streitstraße",2021-11-13 12:50:00,2021-11-13,12.50,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.176649,42.4957169
71,105,1146029,"Property Damage, Possession of a Weapon",Bosestraße,2021-11-13 10:00:00,2021-11-13,10.00,Female,Male,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1277039,42.4958571
72,106,1146028,"Property Crime, General Assault",Brunnenstraße,2021-11-13 11:10:00,2021-11-13,11.10,Male,Male,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.8695328,60.6335719
73,107,1145586,"General Assault, Verbal Abuse, Property Damage", Hellersdorf,2021-11-12 15:30:00,2021-11-12,15.30,"Male, Child",Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.1704229,42.4966602
74,108,1145585,Property Damage,Lily-Braun-Straße,2021-11-12 12:45:00,2021-11-12,12.45,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5139415,46.5386688
75,109,1145583,Property Crime,"Goethestraße, Schlachtensee",2021-11-12 16:00:00,2021-11-12,16.00,Unknown,Female,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.46654,60.9948584
76,110,1145582,Property Damage,Ostseestraße,2021-11-12 12:00:00,2021-11-12,12.00,Unknown,Male,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3150833,46.0057621
77,111,1145475,Property Crime,Friedrichstraße,2021-11-11 03:30:00,2021-11-11,03.30,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8730989,45.7091799
78,112,1145293,"Property Crime, Property Damage",Heinrich-Heine-Straße/Annenstraße,2021-11-11 00:55:00,2021-11-11,00.55,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0790677,46.509144
79,113,1145096,"Property Damage, Drug Offenses, General Assault",Buschkrugallee / Grenzallee / Karl-Marx-Straße,2021-11-11 00:40:00,2021-11-11,00.40,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.5727757,46.391944
80,114,1145071,"General Assault, Verbal Abuse","Kantstraße, Savignyplatz",2021-11-11 02:00:00,2021-11-11,02.00,Male,"Female, Male",2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.4224967,46.3373063
81,115,1144866,"Property Crime, Burglary",Uhlandstraße 9,,2022-06-16,Unknown,Unknown,Unknown,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7677413,46.4672719
82,116,1144568,"Verbal Abuse, Hate Crime - Sexual Orientation","Stuttgarter Platz, Leonhardtstraße",2021-11-10 21:00:00,2021-11-10,21.00,Male,Male,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.5230396,18.5426964
83,117,1144520,"Property Damage, Unclassified","BAB 100, Seestraßenbrücke, Anschlussstelle Beusselstraße, Anschlussstelle Hohenzollerndamm",2021-11-10 22:30:00,2021-11-10,22.30,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.4191043,46.2431499
84,118,1144514,Property Damage,Niederneuendorfer Allee,2021-11-10 14:50:00,2021-11-10,14.50,Male,Unknown,1,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.768830580455049,46.6696034
85,119,1144511,"Property Damage, Verbal Abuse","Gielower Straße, Neukölln",2021-11-10 18:10:00,2021-11-10,18.10,Female,Unknown,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3384729,45.8432951
86,120,1144344,Property Crimes,"Waldstraße, Reinickendorf",2021-11-09 06:00:00,2021-11-09,06.00,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.5249185,50.4472553
87,121,1144137,"Property Damage, Driving Under the Influence","Kranoldplatz, Lichterfelde",2021-11-09 01:50:00,2021-11-09,01.50,Unknown,Male,Unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2906185,45.907782
88,122,1144126,"Property Damage, General Assault","Mahlsdorf, Tizianstraße",2021-11-09 14:25:00,2021-11-09,14.25,Male,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.3067474,46.165274
89,123,1144029,"Driving without a License, Driving Under the Influence, Speeding",Berlinweit,,2021-11-09,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7190957,35.6105791
90,124,1143952,"Property Damage, Arson","Gutschmidtstraße, Neukölln",2021-11-09 02:00:00,2021-11-09,02.00,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5202579,46.2289735
91,125,1143899,"Robbery, General Assault, Property Damage","Ribnitzer Straße,  Wartenberg",2021-11-09 20:25:00,2021-11-09,20.25,Male,Male,1,6-8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,126.9707793,37.5545547
